osmid,y,x,street_count,highway,geometry
259147631,46.7863823,23.5965723,3,,POINT (23.5965723 46.7863823)
259147795,46.7976334,23.6129363,3,,POINT (23.6129363 46.7976334)
259147796,46.7990357,23.6081963,3,,POINT (23.6081963 46.7990357)
259147799,46.7990011,23.6074691,3,,POINT (23.6074691 46.7990011)
259147811,46.7914215,23.5991687,4,,POINT (23.5991687 46.7914215)
259148007,46.7834844,23.6130687,3,,POINT (23.6130687 46.7834844)
259148187,46.7864437,23.6458615,3,,POINT (23.6458615 46.7864437)
259148188,46.7841278,23.6461943,3,traffic_signals,POINT (23.6461943 46.7841278)
259148754,46.7847503,23.5634662,3,,POINT (23.5634662 46.7847503)
259148757,46.7878873,23.5801476,3,traffic_signals,POINT (23.5801476 46.7878873)
259148760,46.7862421,23.5813955,3,,POINT (23.5813955 46.7862421)
259148780,46.7833442,23.5581265,3,,POINT (23.5581265 46.7833442)
259149874,46.7531893,23.5644012,3,,POINT (23.5644012 46.7531893)
259149927,46.7580045,23.5475982,3,traffic_signals,POINT (23.5475982 46.7580045)
259150209,46.7542407,23.5536334,3,traffic_signals,POINT (23.5536334 46.7542407)
259150233,46.7544944,23.5607283,3,,POINT (23.5607283 46.7544944)
259150238,46.7518645,23.5504883,3,,POINT (23.5504883 46.7518645)
259150250,46.7526645,23.5525889,2,,POINT (23.5525889 46.7526645)
259150341,46.7533654,23.5608949,3,,POINT (23.5608949 46.7533654)
259150365,46.7530566,23.5605097,3,,POINT (23.5605097 46.7530566)
259150693,46.7592317,23.562636,3,,POINT (23.562636 46.7592317)
259150702,46.757001,23.5605624,3,,POINT (23.5605624 46.757001)
259150703,46.7590714,23.560325,3,,POINT (23.560325 46.7590714)
259150712,46.7567837,23.5606124,3,,POINT (23.5606124 46.7567837)
259150717,46.7570156,23.5635049,3,,POINT (23.5635049 46.7570156)
259150767,46.7566849,23.5565359,4,traffic_signals,POINT (23.5565359 46.7566849)
259150772,46.7567551,23.5586621,3,,POINT (23.5586621 46.7567551)
259150776,46.7578333,23.5604681,4,,POINT (23.5604681 46.7578333)
