y,x,street_count,highway,junction,railway,ref,geometry
48.8313954,2.3581678,4,,,,,POINT (2.3581678 48.8313954)
48.8319952,2.3599732,3,,,,,POINT (2.3599732 48.8319952)
48.8317022,2.3579381,3,traffic_signals;crossing,,,,POINT (2.3579381 48.8317022)
48.8313556,2.3568637,3,traffic_signals,,,,POINT (2.3568637 48.8313556)
48.8318007,2.3567167,3,,,,,POINT (2.3567167 48.8318007)
48.8322428,2.3560813,3,traffic_signals,,,,POINT (2.3560813 48.8322428)
48.8318213,2.3582931,3,traffic_signals,,,,POINT (2.3582931 48.8318213)
48.8320387,2.3589341,3,traffic_signals,,,,POINT (2.3589341 48.8320387)
48.8321859,2.3584104,3,,,,,POINT (2.3584104 48.8321859)
48.8320004,2.3584149,3,,,,,POINT (2.3584149 48.8320004)
48.8328074,2.3564892,4,traffic_signals,,,,POINT (2.3564892 48.8328074)
48.8325125,2.3588028,2,,,,,POINT (2.3588028 48.8325125)
48.8328501,2.3555283,3,,,,,POINT (2.3555283 48.8328501)
48.833208,2.3555425,4,,,,,POINT (2.3555425 48.833208)
48.8270179,2.3664849,4,traffic_signals,,,,POINT (2.3664849 48.8270179)
48.8276787,2.3713592,4,traffic_signals,,,,POINT (2.3713592 48.8276787)
48.8273743,2.3691247,3,,,,,POINT (2.3691247 48.8273743)
48.8212048,2.3790467,3,,,,,POINT (2.3790467 48.8212048)
48.8537953,2.3333421,5,traffic_signals,,,,POINT (2.3333421 48.8537953)
48.852103,2.3402953,4,,,,,POINT (2.3402953 48.852103)
48.8513977,2.3431724,4,traffic_signals,,,,POINT (2.3431724 48.8513977)
48.8529505,2.3427976,3,,,,,POINT (2.3427976 48.8529505)
48.8530613,2.3468122,4,traffic_signals,,,,POINT (2.3468122 48.8530613)
48.8437403,2.3242703,5,,,,,POINT (2.3242703 48.8437403)
48.8515902,2.3311169,4,traffic_signals,,,,POINT (2.3311169 48.8515902)
48.8420281,2.3228101,4,,,,,POINT (2.3228101 48.8420281)
48.8412731,2.3248713,4,,yes,,,POINT (2.3248713 48.8412731)
48.8393924,2.3305503,3,,,,,POINT (2.3305503 48.8393924)
48.8376837,2.3455218,4,traffic_signals,,,,POINT (2.3455218 48.8376837)
48.8340991,2.3333435,4,crossing,,,,POINT (2.3333435 48.8340991)
48.8624438,2.2637168,3,,,,,POINT (2.2637168 48.8624438)
48.8627116,2.2664623,3,crossing,,,,POINT (2.2664623 48.8627116)
48.8631344,2.2686662,4,,,,,POINT (2.2686662 48.8631344)
48.8726811,2.2845692,4,traffic_signals,,,,POINT (2.2845692 48.8726811)
48.880139,2.2879799,4,,,,,POINT (2.2879799 48.880139)
48.8848378,2.2966493,3,,,,,POINT (2.2966493 48.8848378)
48.885359,2.297261,3,,,,,POINT (2.297261 48.885359)
48.8845175,2.2971781,3,,,,,POINT (2.2971781 48.8845175)
48.8869037,2.3011542,4,,,,,POINT (2.3011542 48.8869037)
48.8881726,2.3105625,3,,,,,POINT (2.3105625 48.8881726)
48.8873505,2.3141215,5,traffic_signals,,,,POINT (2.3141215 48.8873505)
48.8822056,2.3203489,4,traffic_signals,,,,POINT (2.3203489 48.8822056)
48.8794904,2.3218476,5,traffic_signals,,,,POINT (2.3218476 48.8794904)
48.8790714,2.3232119,3,,,,,POINT (2.3232119 48.8790714)
48.8778593,2.3269497,5,traffic_signals,,,,POINT (2.3269497 48.8778593)
48.8838764,2.3327896,5,traffic_signals,,,,POINT (2.3327896 48.8838764)
48.8835576,2.3469998,4,traffic_signals,,,,POINT (2.3469998 48.8835576)
48.875888,2.3398698,4,traffic_signals,,,,POINT (2.3398698 48.875888)
48.8792901,2.3570788,4,traffic_signals,,,,POINT (2.3570788 48.8792901)
48.877753,2.3705986,3,traffic_signals,,,,POINT (2.3705986 48.877753)
48.8740589,2.3635398,3,,,,,POINT (2.3635398 48.8740589)
48.8947381,2.3822734,3,,,,,POINT (2.3822734 48.8947381)
48.8661922,2.3696437,4,traffic_signals,,,,POINT (2.3696437 48.8661922)
48.8667247,2.3651418,3,traffic_signals,,,,POINT (2.3651418 48.8667247)
48.8512901,2.3761292,4,traffic_signals,,,,POINT (2.3761292 48.8512901)
48.8480012,2.3714459,4,traffic_signals,,,,POINT (2.3714459 48.8480012)
48.8486286,2.3725375,4,traffic_signals,,,,POINT (2.3725375 48.8486286)
48.8468478,2.3694048,4,traffic_signals,,,,POINT (2.3694048 48.8468478)
48.8444983,2.3722312,3,traffic_signals,,,,POINT (2.3722312 48.8444983)
48.8404205,2.3789998,4,,,,,POINT (2.3789998 48.8404205)
48.8442794,2.3815641,5,traffic_signals,,,,POINT (2.3815641 48.8442794)
48.8505503,2.3793973,3,,,,,POINT (2.3793973 48.8505503)
48.8500842,2.384689,4,traffic_signals,,,,POINT (2.384689 48.8500842)
48.8419094,2.367868,4,traffic_signals,,,,POINT (2.367868 48.8419094)
48.8474701,2.3967168,3,,,,,POINT (2.3967168 48.8474701)
48.8491262,2.3970535,4,,,,,POINT (2.3970535 48.8491262)
48.8494264,2.3962019,2,,,,,POINT (2.3962019 48.8494264)
48.8473365,2.39573,4,traffic_signals,,,,POINT (2.39573 48.8473365)
48.8473461,2.3867729,4,traffic_signals,,,,POINT (2.3867729 48.8473461)
48.8649662,2.3955474,4,,,,,POINT (2.3955474 48.8649662)
48.8406596,2.4090095,4,crossing,,,,POINT (2.4090095 48.8406596)
48.8442884,2.4101757,5,,,,,POINT (2.4101757 48.8442884)
