osmid,y,x,street_count,highway,ref,junction,railway,geometry
5337943643,47.4332268,19.1927611,3,,,,,POINT (19.1927611 47.4332268)
5341631464,47.5071072,19.0854042,3,,,,,POINT (19.0854042 47.5071072)
5341631470,47.5070868,19.0861331,3,,,,,POINT (19.0861331 47.5070868)
5341759388,47.511243,19.0805872,3,,,,,POINT (19.0805872 47.511243)
5343885370,47.5053635,19.0872951,3,,,,,POINT (19.0872951 47.5053635)
5345056622,47.560714,18.9607919,3,,,,,POINT (18.9607919 47.560714)
5345063922,47.5608494,18.9594692,3,,,,,POINT (18.9594692 47.5608494)
5345064055,47.5609477,18.9573804,3,,,,,POINT (18.9573804 47.5609477)
5345066532,47.5601907,18.9582336,3,,,,,POINT (18.9582336 47.5601907)
5350776513,47.410768,19.1774282,3,,,,,POINT (19.1774282 47.410768)
5355280484,47.511248,19.0322117,3,,,,,POINT (19.0322117 47.511248)
5355498246,47.5516534,19.0396816,3,,,,,POINT (19.0396816 47.5516534)
5368252672,47.5308617,18.9921096,1,,,,,POINT (18.9921096 47.5308617)
5368252675,47.5310338,18.9921235,1,,,,,POINT (18.9921235 47.5310338)
5370206368,47.562462,19.0787755,3,,,,,POINT (19.0787755 47.562462)
5378144824,47.4679979,19.1123996,3,,,,,POINT (19.1123996 47.4679979)
5378144826,47.4686306,19.1128475,1,,,,,POINT (19.1128475 47.4686306)
5379568704,47.5067184,19.1264888,2,,,,,POINT (19.1264888 47.5067184)
5380199968,47.5568307,18.9604656,3,,,,,POINT (18.9604656 47.5568307)
5380533337,47.5001852,19.0572684,3,,,,,POINT (19.0572684 47.5001852)
5380533338,47.5001646,19.057226,3,,,,,POINT (19.057226 47.5001646)
5382736576,47.5608169,19.0523732,3,,,,,POINT (19.0523732 47.5608169)
5402506474,47.4677645,19.0985365,3,,,,,POINT (19.0985365 47.4677645)
5402506475,47.4675664,19.0981658,3,,,,,POINT (19.0981658 47.4675664)
5403401367,47.4690754,19.0067038,3,,,,,POINT (19.0067038 47.4690754)
5403401368,47.46868,19.0062398,3,,,,,POINT (19.0062398 47.46868)
5406872042,47.5853765,19.1326688,3,,,,,POINT (19.1326688 47.5853765)
5406872043,47.5854934,19.1322153,3,,,,,POINT (19.1322153 47.5854934)
5407105847,47.5971456,19.055711,1,,,,,POINT (19.055711 47.5971456)
5409249177,47.4072507,19.0702636,3,,,,,POINT (19.0702636 47.4072507)
5416599721,47.5048881,19.179577,1,,,,,POINT (19.179577 47.5048881)
5416599722,47.5047126,19.1790437,3,,,,,POINT (19.1790437 47.5047126)
5422226844,47.3996751,18.9883838,1,,,,,POINT (18.9883838 47.3996751)
5422272010,47.4003936,18.9957409,3,,,,,POINT (18.9957409 47.4003936)
5425552670,47.4754836,19.0832102,3,,,,,POINT (19.0832102 47.4754836)
5425552677,47.4757549,19.0829712,3,,,,,POINT (19.0829712 47.4757549)
5426256116,47.420993,19.0061786,3,,,,,POINT (19.0061786 47.420993)
5426379776,47.4162587,19.0173124,3,,,,,POINT (19.0173124 47.4162587)
5426385924,47.417233,19.0173254,1,,,,,POINT (19.0173254 47.417233)
5440383765,47.4166931,19.0310783,1,,,,,POINT (19.0310783 47.4166931)
5440383766,47.4165252,19.0310134,1,,,,,POINT (19.0310134 47.4165252)
5445842723,47.4229854,19.0327964,3,,,,,POINT (19.0327964 47.4229854)
5445847272,47.4233333,19.0305535,3,,,,,POINT (19.0305535 47.4233333)
5455190318,47.5151123,19.0572569,4,,,,,POINT (19.0572569 47.5151123)
5461793485,47.4347414,19.0270748,1,,,,,POINT (19.0270748 47.4347414)
5461889640,47.4354521,19.0266325,3,,,,,POINT (19.0266325 47.4354521)
5464346239,47.433226,19.0333292,3,,,,,POINT (19.0333292 47.433226)
5464346241,47.4329763,19.0334022,1,,,,,POINT (19.0334022 47.4329763)
5466512376,47.4288122,19.0360389,3,,,,,POINT (19.0360389 47.4288122)
5466794639,47.4243501,19.0387481,1,,,,,POINT (19.0387481 47.4243501)
5466963153,47.4231459,19.0386028,1,,,,,POINT (19.0386028 47.4231459)
5467090999,47.4226023,19.0374411,3,,,,,POINT (19.0374411 47.4226023)
5469433207,47.5208876,19.1078059,1,,,,,POINT (19.1078059 47.5208876)
5471400249,47.4618525,19.1874887,3,,,,,POINT (19.1874887 47.4618525)
5476556719,47.4953015,19.0373033,1,,,,,POINT (19.0373033 47.4953015)
5483273122,47.4832748,19.0112894,3,,,,,POINT (19.0112894 47.4832748)
5484725747,47.5553661,19.0162584,3,,,,,POINT (19.0162584 47.5553661)
5485928385,47.5364796,19.1343142,3,crossing,,,,POINT (19.1343142 47.5364796)
5486146121,47.53648,19.1341119,3,,,,,POINT (19.1341119 47.53648)
5486480359,47.5409002,19.0186523,1,,,,,POINT (19.0186523 47.5409002)
5489133983,47.5207862,19.036775,3,,,,,POINT (19.036775 47.5207862)
5489182326,47.5616749,19.0392174,1,,,,,POINT (19.0392174 47.5616749)
5489182327,47.561457,19.0390864,1,,,,,POINT (19.0390864 47.561457)
5493889554,47.5622798,18.9402292,3,,,,,POINT (18.9402292 47.5622798)
5496195870,47.4811562,19.1376626,3,,,,,POINT (19.1376626 47.4811562)
5499328191,47.4812277,19.0247022,2,,,,,POINT (19.0247022 47.4812277)
5502787829,47.4161935,19.1925808,3,,,,,POINT (19.1925808 47.4161935)
5503367537,47.4803805,19.1388175,3,,,,,POINT (19.1388175 47.4803805)
5503367560,47.4850338,19.1430497,3,,,,,POINT (19.1430497 47.4850338)
