osmid,y,x,street_count,highway,ref,junction,railway,geometry
8974093835,41.4286357,2.0892324,3,,,,,POINT (2.0892324 41.4286357)
8974093836,41.4286981,2.0887019,3,,,,,POINT (2.0887019 41.4286981)
8974093841,41.4286058,2.0894332,3,stop,,,,POINT (2.0894332 41.4286058)
8974093851,41.4286335,2.0893924,6,,,,,POINT (2.0893924 41.4286335)
8986784890,41.3763967,2.1902171,1,,,,,POINT (2.1902171 41.3763967)
8990275789,41.347485,2.1481657,3,,,,,POINT (2.1481657 41.347485)
8990571939,41.4321979,2.1904062,1,,,,,POINT (2.1904062 41.4321979)
9029647948,41.4014267,2.1140172,3,,,,,POINT (2.1140172 41.4014267)
9029647953,41.4012498,2.1144117,3,,,,,POINT (2.1144117 41.4012498)
9029647979,41.4030108,2.1160974,3,,,,,POINT (2.1160974 41.4030108)
9042478734,41.3945107,2.1500083,1,,,,,POINT (2.1500083 41.3945107)
9090670821,41.4201489,2.1654384,3,,,,,POINT (2.1654384 41.4201489)
9090670832,41.420143,2.1652763,3,,,,,POINT (2.1652763 41.420143)
9137074360,41.4162906,2.1311083,3,,,,,POINT (2.1311083 41.4162906)
9137074362,41.4161866,2.1310601,3,,,,,POINT (2.1310601 41.4161866)
9178309451,41.3490365,2.1394723,3,,,,,POINT (2.1394723 41.3490365)
9178801023,41.3498148,2.138732,3,,,,,POINT (2.138732 41.3498148)
9178801032,41.3494245,2.1405402,3,,,,,POINT (2.1405402 41.3494245)
9195988091,41.4300445,2.1543371,1,,,,,POINT (2.1543371 41.4300445)
9195988092,41.430523,2.1543504,3,,,,,POINT (2.1543504 41.430523)
9195988099,41.4300326,2.1550421,1,,,,,POINT (2.1550421 41.4300326)
9232630600,41.4087326,2.1938837,3,,,,,POINT (2.1938837 41.4087326)
9233468280,41.4007781,2.183694,5,,,,,POINT (2.183694 41.4007781)
9251526562,41.4622978,2.1741893,3,,,,,POINT (2.1741893 41.4622978)
9258535584,41.3510941,2.1454759,4,,,,,POINT (2.1454759 41.3510941)
9272385497,41.42352,2.1583067,1,,,,,POINT (2.1583067 41.42352)
9272385499,41.4234742,2.158062,3,,,,,POINT (2.158062 41.4234742)
9286121170,41.3761591,2.1450113,3,,,,,POINT (2.1450113 41.3761591)
9325818735,41.4201974,2.1712356,1,,,,,POINT (2.1712356 41.4201974)
