osmid,y,x,street_count,highway,ref,railway,geometry
26488085,39.5400608,2.7211224,3,motorway_junction,7,,POINT (2.7211224 39.5400608)
26488087,39.5444346,2.7221358,4,,,,POINT (2.7221358 39.5444346)
26488091,39.5453819,2.7221436,3,,,,POINT (2.7221436 39.5453819)
26488098,39.5439987,2.720138,3,,,,POINT (2.720138 39.5439987)
26488105,39.5423988,2.7113666,3,,,,POINT (2.7113666 39.5423988)
26488108,39.5405502,2.7185723,3,motorway_junction,8,,POINT (2.7185723 39.5405502)
26488259,39.5445684,2.7201889,3,,,,POINT (2.7201889 39.5445684)
26488408,39.5867547,2.6317298,3,,,,POINT (2.6317298 39.5867547)
26488412,39.5944885,2.6581155,3,motorway_junction,5A,,POINT (2.6581155 39.5944885)
26488413,39.593939,2.658469,3,,,,POINT (2.658469 39.593939)
26488424,39.5827162,2.671925,3,motorway_junction,3A,,POINT (2.671925 39.5827162)
26488430,39.5878981,2.6651387,3,motorway_junction,3B,,POINT (2.6651387 39.5878981)
26488457,39.5953976,2.6435041,3,,,,POINT (2.6435041 39.5953976)
26488465,39.590897,2.6374195,3,motorway_junction,7A,,POINT (2.6374195 39.590897)
26488466,39.5913807,2.6381772,3,,,,POINT (2.6381772 39.5913807)
26488590,39.5303132,2.7300238,3,,,,POINT (2.7300238 39.5303132)
26488596,39.5331098,2.7267023,3,,,,POINT (2.7267023 39.5331098)
26489683,39.5334484,2.7354731,3,,,,POINT (2.7354731 39.5334484)
26497408,39.5927263,2.633305,3,,,,POINT (2.633305 39.5927263)
26497409,39.5924639,2.6329779,3,,,,POINT (2.6329779 39.5924639)
26497414,39.5885016,2.6354754,3,,,,POINT (2.6354754 39.5885016)
26497422,39.5896551,2.6342861,3,,,,POINT (2.6342861 39.5896551)
26497423,39.5892435,2.6353353,3,,,,POINT (2.6353353 39.5892435)
26497426,39.589531,2.6343309,3,,,,POINT (2.6343309 39.589531)
26497485,39.6205581,2.6049352,3,,,,POINT (2.6049352 39.6205581)
26730626,39.6073206,2.6551586,3,,,,POINT (2.6551586 39.6073206)
