osmid,y,x,street_count,highway,ref,junction,railway,geometry
269940825,52.494691,13.5380296,4,,,,,POINT (13.5380296 52.494691)
269940901,52.4933911,13.5448478,1,,,,,POINT (13.5448478 52.4933911)
269941062,52.4928708,13.5365931,3,,,,,POINT (13.5365931 52.4928708)
269941070,52.4912634,13.5395121,3,,,,,POINT (13.5395121 52.4912634)
269941226,52.4926735,13.5299392,3,,,,,POINT (13.5299392 52.4926735)
269941228,52.4945246,13.5301914,3,,,,,POINT (13.5301914 52.4945246)
269941236,52.4940308,13.5280235,3,,,,,POINT (13.5280235 52.4940308)
269941237,52.4946418,13.5276147,1,turning_circle,,,,POINT (13.5276147 52.4946418)
270002813,52.433643,13.380752,1,,,,,POINT (13.380752 52.433643)
270013997,52.5115597,13.2851692,1,,,,,POINT (13.2851692 52.5115597)
270021964,52.5169149,13.2806336,3,,,,,POINT (13.2806336 52.5169149)
270045109,52.4750805,13.5086197,3,,,,,POINT (13.5086197 52.4750805)
270159306,52.490141,13.6103488,3,,,,,POINT (13.6103488 52.490141)
270182847,52.496545,13.3080326,3,,,,,POINT (13.3080326 52.496545)
270182848,52.4966355,13.3082064,3,,,,,POINT (13.3082064 52.4966355)
270228633,52.4364242,13.3469897,1,turning_circle,,,,POINT (13.3469897 52.4364242)
270254273,52.5406209,13.4403942,3,,,,,POINT (13.4403942 52.5406209)
270254393,52.5389056,13.4453521,4,,,,,POINT (13.4453521 52.5389056)
270254394,52.5388151,13.4452722,3,,,,,POINT (13.4452722 52.5388151)
270254399,52.5391265,13.4447575,3,,,,,POINT (13.4447575 52.5391265)
270297624,52.5416112,13.3730371,1,turning_circle,,,,POINT (13.3730371 52.5416112)
270323409,52.4563781,13.4478886,1,turning_circle,,,,POINT (13.4478886 52.4563781)
270323411,52.4552387,13.4468067,3,,,,,POINT (13.4468067 52.4552387)
270333925,52.4763289,13.509492,3,,,,,POINT (13.509492 52.4763289)
270361014,52.425686,13.3475891,3,,,,,POINT (13.3475891 52.425686)
270361348,52.425443,13.3495895,1,,,,,POINT (13.3495895 52.425443)
270406080,52.4936644,13.5724947,3,,,,,POINT (13.5724947 52.4936644)
270406510,52.493464,13.4901593,4,,,,,POINT (13.4901593 52.493464)
270406511,52.4921499,13.4876131,1,turning_circle,,,,POINT (13.4876131 52.4921499)
270415204,52.5333582,13.2897011,3,,,,,POINT (13.2897011 52.5333582)
270435447,52.5084572,13.583313,3,,,,,POINT (13.583313 52.5084572)
270435452,52.5080674,13.5825079,1,turning_circle,,,,POINT (13.5825079 52.5080674)
270440062,52.4918672,13.3781878,3,,,,,POINT (13.3781878 52.4918672)
270442882,52.4946238,13.4003678,1,turning_circle,,,,POINT (13.4003678 52.4946238)
270469697,52.4725428,13.5096684,1,turning_circle,,,,POINT (13.5096684 52.4725428)
270474457,52.487402,13.5357094,3,,,,,POINT (13.5357094 52.487402)
270474514,52.4870156,13.5389022,3,,,,,POINT (13.5389022 52.4870156)
270495935,52.424553,13.3566418,3,,,,,POINT (13.3566418 52.424553)
270524954,52.4263278,13.3559867,3,,,,,POINT (13.3559867 52.4263278)
270528486,52.4276822,13.3553332,4,,,,,POINT (13.3553332 52.4276822)
270537507,52.4124205,13.3614481,4,,,,,POINT (13.3614481 52.4124205)
270539527,52.4230028,13.357417,4,,,,,POINT (13.357417 52.4230028)
270539529,52.4262925,13.3557942,3,,,,,POINT (13.3557942 52.4262925)
270539530,52.4276459,13.3551359,4,,,,,POINT (13.3551359 52.4276459)
270539531,52.4291208,13.3545428,3,,,,,POINT (13.3545428 52.4291208)
270545195,52.5289931,13.5674061,3,,,,,POINT (13.5674061 52.5289931)
270545593,52.5269761,13.5658258,3,,,,,POINT (13.5658258 52.5269761)
270546177,52.4125715,13.3613419,4,,,,,POINT (13.3613419 52.4125715)
270549839,52.6073601,13.299056,4,,,,,POINT (13.299056 52.6073601)
270561135,52.5279631,13.5712027,2,,,,,POINT (13.5712027 52.5279631)
270562209,52.5318154,13.4197281,3,,,,,POINT (13.4197281 52.5318154)
270579903,52.498822,13.5971935,3,,,,,POINT (13.5971935 52.498822)
270580995,52.4973232,13.5980911,3,,,,,POINT (13.5980911 52.4973232)
270580998,52.4985739,13.5989424,3,,,,,POINT (13.5989424 52.4985739)
270642723,52.5242071,13.5726625,3,,,,,POINT (13.5726625 52.5242071)
270642725,52.5231023,13.5722363,1,,,,,POINT (13.5722363 52.5231023)
270654819,52.4933134,13.3878339,3,,,,,POINT (13.3878339 52.4933134)
270654946,52.4925706,13.3873577,3,,,,,POINT (13.3873577 52.4925706)
270654973,52.4925191,13.3875916,3,,,,,POINT (13.3875916 52.4925191)
270665856,52.4917575,13.3791911,1,,,,,POINT (13.3791911 52.4917575)
270712013,52.4725265,13.4485347,1,,,,,POINT (13.4485347 52.4725265)
270717658,52.4331171,13.3395947,1,turning_circle,,,,POINT (13.3395947 52.4331171)
270737259,52.5275582,13.3271151,3,,,,,POINT (13.3271151 52.5275582)
