y,x,street_count,highway,railway,ref,junction,geometry
41.8910199,12.3810956,3,motorway_junction,,1,,POINT (12.3810956 41.8910199)
41.9558453,12.3841381,3,,,,,POINT (12.3841381 41.9558453)
41.9277603,12.7484463,3,motorway_junction,,,,POINT (12.7484463 41.9277603)
42.0695412,12.333815,3,,,,,POINT (12.333815 42.0695412)
42.0630541,12.3484525,2,,,,,POINT (12.3484525 42.0630541)
42.0627673,12.3506867,3,,,,,POINT (12.3506867 42.0627673)
42.0547077,12.3721643,3,,,,,POINT (12.3721643 42.0547077)
41.8905193,12.426281,3,crossing,,,,POINT (12.426281 41.8905193)
41.8958982,12.4398044,4,,,,,POINT (12.4398044 41.8958982)
41.8997945,12.4525272,3,,,,,POINT (12.4525272 41.8997945)
41.900269,12.4551782,3,,,,,POINT (12.4551782 41.900269)
41.9014734,12.4259847,3,,,,,POINT (12.4259847 41.9014734)
41.8962536,12.4725344,3,,,,,POINT (12.4725344 41.8962536)
41.8960034,12.471817,1,,,,,POINT (12.471817 41.8960034)
41.8835838,12.4878998,4,,,,,POINT (12.4878998 41.8835838)
41.8871939,12.4822503,4,,,,,POINT (12.4822503 41.8871939)
41.886219,12.4835403,3,,,,,POINT (12.4835403 41.886219)
41.8908144,12.4266952,3,,,,,POINT (12.4266952 41.8908144)
41.8898919,12.4410178,3,,,,,POINT (12.4410178 41.8898919)
41.8916979,12.4428332,3,,,,,POINT (12.4428332 41.8916979)
41.8915559,12.4443562,1,,,,,POINT (12.4443562 41.8915559)
41.8922686,12.4433114,2,,,,,POINT (12.4433114 41.8922686)
41.893462,12.4416883,3,,,,,POINT (12.4416883 41.893462)
41.893788,12.4421518,3,,,,,POINT (12.4421518 41.893788)
41.8957797,12.4451822,4,,,,,POINT (12.4451822 41.8957797)
41.8997646,12.4512074,3,,,,,POINT (12.4512074 41.8997646)
41.9004806,12.4507274,3,,,,,POINT (12.4507274 41.9004806)
41.8988966,12.4514196,3,,,,,POINT (12.4514196 41.8988966)
41.8966132,12.481922,3,,,,,POINT (12.481922 41.8966132)
41.8962217,12.4826655,3,,,,,POINT (12.4826655 41.8962217)
41.8954624,12.4835075,3,,,,,POINT (12.4835075 41.8954624)
41.8955429,12.4825447,3,,,,,POINT (12.4825447 41.8955429)
41.8949191,12.4820859,3,,,,,POINT (12.4820859 41.8949191)
41.8941584,12.481958,3,,,,,POINT (12.481958 41.8941584)
41.8940681,12.4814966,3,,,,,POINT (12.4814966 41.8940681)
41.8941577,12.4813623,3,,,,,POINT (12.4813623 41.8941577)
41.8948337,12.4810368,3,,,,,POINT (12.4810368 41.8948337)
41.8952991,12.4817349,3,,,,,POINT (12.4817349 41.8952991)
41.9011702,12.47658,2,,,,,POINT (12.47658 41.9011702)
41.8903445,12.4744774,4,,,,,POINT (12.4744774 41.8903445)
41.9027182,12.4965781,3,,,,,POINT (12.4965781 41.9027182)
41.8994139,12.4969811,3,,,,,POINT (12.4969811 41.8994139)
41.9046262,12.4967969,3,,,,,POINT (12.4967969 41.9046262)
41.904441,12.4942491,3,,,,,POINT (12.4942491 41.904441)
41.9051186,12.4930484,3,,,,,POINT (12.4930484 41.9051186)
41.9058649,12.4909766,4,traffic_signals,,,,POINT (12.4909766 41.9058649)
41.9054754,12.4903508,3,,,,,POINT (12.4903508 41.9054754)
41.9053978,12.4902461,3,,,,,POINT (12.4902461 41.9053978)
41.9049804,12.4897186,3,,,,,POINT (12.4897186 41.9049804)
41.9041693,12.4887383,4,,,,,POINT (12.4887383 41.9041693)
41.9057822,12.4886363,3,,,,,POINT (12.4886363 41.9057822)
41.906392,12.4901881,3,,,,,POINT (12.4901881 41.906392)
