osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,junction,width,bridge,tunnel,access,ref
172636184,residential,1,30,Rue Barrault,True,False,78.9448989825097,"LINESTRING (2.3465869 48.825757, 2.346602 48.8256609, 2.3466335 48.82521, 2.3466503 48.8250484)",,,,,,
662481807,secondary,2,30,Rue de Tolbiac,False,True,47.17984601200498,"LINESTRING (2.3465869 48.825757, 2.3467259 48.8257348, 2.3467898 48.8257246, 2.347046 48.8256804, 2.3471195 48.8256688, 2.3472127 48.8256558)",,,,,,
11288473,residential,2,30,Rue Vergniaud,False,False,33.51645245375624,"LINESTRING (2.3452101 48.8259416, 2.3451846 48.825863, 2.3451676 48.8258162, 2.3451066 48.825648)",,,,,,
23952334,secondary,3,30,Rue de Tolbiac,False,True,102.99150064609213,"LINESTRING (2.3452101 48.8259416, 2.3453565 48.8259328, 2.3454515 48.8259272, 2.3456816 48.8258904, 2.3460171 48.8258402, 2.3463709 48.8257887, 2.3464545 48.8257768, 2.3465869 48.825757)",,,,,,
"[513831328, 171930668]",residential,2,30,Rue Vergniaud,False,False,219.35107851959782,"LINESTRING (2.3452101 48.8259416, 2.3452353 48.8260402, 2.3453196 48.8264332, 2.3454027 48.8268206, 2.3455182 48.8273589, 2.3455698 48.8276031, 2.3456168 48.8278122, 2.3456404 48.8278937)",,,,,,
685720068,secondary,3,30,Rue de Tolbiac,False,False,87.31248104179002,"LINESTRING (2.3452101 48.8259416, 2.3451002 48.8259516, 2.3450384 48.8259602, 2.3442258 48.8260889, 2.3441533 48.8260992, 2.3440471 48.8261143)",,,,,,
221126365,residential,,30,Rue des Plantes,True,False,88.60327755000876,"LINESTRING (2.3226525 48.8292991, 2.3226023 48.8292325, 2.3222397 48.8287737, 2.3221316 48.8286671, 2.3220611 48.8286055)",,,,,,
"[824923521, 1160391201]",secondary,1,30,Rue d'Alésia,True,False,123.9195026559214,"LINESTRING (2.3226525 48.8292991, 2.322569 48.8293291, 2.3220386 48.8295185, 2.3217672 48.8296172, 2.3211682 48.829835)",,10,,,,
5210719,residential,2,30,Rue Didot,True,False,99.2038216121029,"LINESTRING (2.319263 48.8305326, 2.3194202 48.8306837, 2.3194374 48.8307149, 2.3194456 48.8307312, 2.3197953 48.8312793, 2.3198354 48.8313378)",,,,,,
"[5210768, 1136744315]",residential,,30,Rue de Gergovie,True,False,173.07962573813882,"LINESTRING (2.319263 48.8305326, 2.3192607 48.8305794, 2.319258 48.8306332, 2.3192287 48.8306564, 2.3190528 48.8307957, 2.3187386 48.8310551, 2.3179751 48.8316854, 2.3178741 48.8317688)",,7.2,,,,
"[1173732322, 1173732323, 1173732324, 1173732325]",secondary,1,30,Rue d'Alésia,True,False,141.66298178393887,"LINESTRING (2.319263 48.8305326, 2.3191282 48.830574, 2.3190651 48.8305933, 2.3189281 48.8306353, 2.318769 48.8306823, 2.3185482 48.8307496, 2.3181261 48.8308727, 2.3179729 48.8309146, 2.3174929 48.8310473)",,10,,,,
"[1146559482, 5210428]",tertiary,,30,Rue Raymond Losserand,True,False,144.41738588679476,"LINESTRING (2.3141451 48.8318162, 2.3142482 48.831872, 2.3150024 48.8322742, 2.3150933 48.8323228, 2.3155816 48.8325873, 2.3156725 48.8326383)",,,,,,
1173732329,secondary,1,30,Rue d'Alésia,True,False,46.5258835239468,"LINESTRING (2.3141451 48.8318162, 2.3140387 48.831843, 2.3139691 48.8318619, 2.3138137 48.8318998, 2.3136139 48.831948, 2.3135538 48.8319688)",,10,,,,
4039145,secondary,2,30,Rue de Vouillé,False,False,17.646606236587516,"LINESTRING (2.3092306 48.8335638, 2.3091717 48.8335812, 2.3090578 48.8336142, 2.3090096 48.8336272)",,,,,,
5210455,secondary,3,30,Rue de Vouillé,False,True,46.15765161332723,"LINESTRING (2.3092306 48.8335638, 2.3093042 48.8335431, 2.3098061 48.8333941)",,,,,,
36451817,residential,1,30,Rue Castagnary,True,False,20.522567789526924,"LINESTRING (2.3092306 48.8335638, 2.3092818 48.8336536, 2.3092935 48.8336742, 2.3093291 48.8337366)",,,,,,
83210409,secondary,2,30,Rue de Vaugirard,True,False,26.91487066261981,"LINESTRING (2.2964564 48.8372281, 2.2966905 48.8373548, 2.2967396 48.8373825)",,,,,,
662409825,secondary,2,30,Rue de la Convention,False,False,164.28957491318994,"LINESTRING (2.2964564 48.8372281, 2.2962772 48.837294, 2.2962459 48.8373094, 2.2962304 48.8373173, 2.296218 48.8373236, 2.2961293 48.8373687, 2.2957923 48.8375198, 2.2949478 48.8379025, 2.2947798 48.8379786, 2.2946016 48.838059)",,,,,,
662409825,secondary,2,30,Rue de la Convention,False,True,58.229620788691115,"LINESTRING (2.2964564 48.8372281, 2.2965916 48.8371812, 2.2966255 48.8371714, 2.2967413 48.8371391, 2.2971741 48.8370025)",,,,,,
59725223,secondary,,30,Rue de la Convention,False,False,142.11886583225188,"LINESTRING (2.2919595 48.8392633, 2.2917501 48.8393541, 2.2917177 48.8393689, 2.2916828 48.8393847, 2.2915071 48.8394647, 2.2904845 48.8399339, 2.2903618 48.8399897)",,,,,,
59725235,secondary,,30,Rue de la Convention,False,True,31.641579566588316,"LINESTRING (2.2919595 48.8392633, 2.2920134 48.8392394, 2.2921004 48.8392008, 2.2921248 48.8391897, 2.2921543 48.8391763, 2.2922854 48.8391168, 2.2923164 48.8391027)",,,,,,
571701532,secondary,2,30,Rue Lecourbe,True,False,39.981268364128816,"LINESTRING (2.2919595 48.8392633, 2.2918024 48.8392252, 2.2914493 48.8391348)",,,,,,
59718913,residential,,30,Rue de Lourmel,True,False,142.80548021517274,"LINESTRING (2.2855643 48.8421683, 2.2855043 48.8421032, 2.2853404 48.8419279, 2.2846646 48.8412026, 2.2846583 48.8411958, 2.2845444 48.8410734)",,,,,,
59727176,secondary,3,30,Rue de la Convention,False,True,65.49674599840023,"LINESTRING (2.2855643 48.8421683, 2.2856454 48.8421314, 2.2861622 48.841896, 2.2862996 48.8418325)",,,,,,
662409826,secondary,3,30,Rue de la Convention,False,False,183.29060776007117,"LINESTRING (2.2855643 48.8421683, 2.2854824 48.8422057, 2.2854292 48.84223, 2.2851527 48.8423562, 2.2850614 48.8423979, 2.2849007 48.8424712, 2.2840464 48.8428612, 2.2835785 48.8430747, 2.2835061 48.8431076)",,,,,,
5097306,tertiary,2,30,Rue Mirabeau,True,False,138.1825913797628,"LINESTRING (2.2737147 48.8474292, 2.2732451 48.8472813, 2.2732253 48.8472748, 2.2720709 48.8469159, 2.2720086 48.8468965)",,,,,,
13871245,secondary,6,30,Rue de l'Amiral Cloué,False,True,60.870065277415314,"LINESTRING (2.2737147 48.8474292, 2.2739266 48.84735, 2.2739599 48.8473361, 2.274133 48.8472638, 2.2742826 48.8472011, 2.2743165 48.8471869, 2.274423 48.8471424)",,,,,,
27631897,tertiary,2,30,Rue de Rémusat,True,False,91.68815011506942,"LINESTRING (2.2737147 48.8474292, 2.2732551 48.8475356, 2.2732264 48.8475416, 2.2729011 48.8476073, 2.2727195 48.8476452, 2.2725241 48.8476858)",,,,,,
"[451594920, 584386819, 584386820, 454665064]",primary,4,30,Avenue de Versailles,False,True,174.10339848566295,"LINESTRING (2.2737147 48.8474292, 2.2738711 48.8475772, 2.2738964 48.8476028, 2.2740055 48.8477062, 2.2740239 48.8477251, 2.2741917 48.847883, 2.2745119 48.8481918, 2.2749598 48.8486335, 2.2749879 48.8486622, 2.2750512 48.8487245)",,,,,,
"[584386818, 34849338]",primary,4,30,Avenue de Versailles,False,True,169.65974215439059,"LINESTRING (2.2737147 48.8474292, 2.2735431 48.8472352, 2.2735097 48.8472025, 2.2733049 48.8470039, 2.2732365 48.8469359, 2.2724943 48.8462005, 2.272448 48.8461517)",,,,,,
720196717,tertiary,2,30,Avenue Théophile Gautier,False,True,34.36387950573973,"LINESTRING (2.2699037 48.8482358, 2.2701802 48.8484856)",,,,,,
4039125,residential,1,30,Rue Leconte de Lisle,True,False,111.51630810333761,"LINESTRING (2.2699037 48.8482358, 2.26979 48.8482646, 2.2689646 48.8484504, 2.2686349 48.8485195, 2.2684597 48.8485561)",,,,,,
61972265,tertiary,3,30,Avenue Théophile Gautier,False,False,97.25107481606227,"LINESTRING (2.2699037 48.8482358, 2.2698299 48.8481711, 2.2694494 48.8478226, 2.2693556 48.8477404, 2.2692373 48.8476318, 2.2691208 48.8475291)",,,,,,
5097354,residential,,30,Rue Erlanger,True,False,326.20204167422247,"LINESTRING (2.2622425 48.8479618, 2.2622142 48.8479123, 2.2619771 48.8475515, 2.2613898 48.8466662, 2.2611541 48.846311, 2.2610108 48.8460948, 2.2605477 48.8453958, 2.2605181 48.8453488, 2.2604653 48.8452715)",,,,,,
24642293,tertiary,1,30,Rue d'Auteuil,True,False,66.86587222325008,"LINESTRING (2.2622425 48.8479618, 2.2623152 48.8479674, 2.2629922 48.8480201, 2.2631505 48.8480291)",,,,,,
24030739,primary,5,30,Place de la Porte d'Auteuil,True,False,28.63797834639795,"LINESTRING (2.2597533 48.8479246, 2.2597505 48.8479698, 2.2597384 48.848004, 2.2597164 48.8480364, 2.2597001 48.8480593, 2.2596711 48.8480836, 2.2596464 48.8480963, 2.2596146 48.848109, 2.2595582 48.848125)",,,,,,
582286359,tertiary,3,30,Rue d'Auteuil,True,False,30.07774232493353,"LINESTRING (2.2597533 48.8479246, 2.2600372 48.8479275, 2.2600903 48.847928, 2.2601643 48.8479288)",,,,,,
14117429,primary,4,30,Boulevard Murat,True,False,50.74565370986598,"LINESTRING (2.2585518 48.8479122, 2.2585389 48.8478041, 2.2585291 48.8477542, 2.2584977 48.8474573)",,,,,,
670968024,primary,4,30,Place de la Porte d'Auteuil,True,False,27.83840347247053,"LINESTRING (2.2585518 48.8479122, 2.2588112 48.8479149, 2.2589322 48.8479161)",,,,,,
34172802,primary,4,50,Boulevard Suchet,False,True,43.72155194348254,"LINESTRING (2.2618853 48.8530352, 2.2616612 48.8526707)",,,,,,
"[26934344, 26934427, 26934412]",residential,1,30,"['Square Tolstoï', ""Avenue du Maréchal Franchet d'Esperey"", 'Square Henry Bataille']",True,False,390.4651226146213,"LINESTRING (2.2618853 48.8530352, 2.2617248 48.8530812, 2.2608504 48.8533319, 2.2607738 48.8533537, 2.2607999 48.8533954, 2.2614981 48.8544934, 2.2619082 48.8551284, 2.2619498 48.8551584, 2.2620073 48.8551426, 2.2624278 48.855027, 2.2628868 48.854901, 2.2629987 48.8548701)",,,,,,
"[85893201, 85893164, 24030591]",residential,3,30,Rue Raffet,False,True,57.8385262499114,"LINESTRING (2.2618853 48.8530352, 2.2620199 48.8529387, 2.2621426 48.8528814, 2.2623629 48.852785, 2.262429 48.852756, 2.2625129 48.852724)",,,yes,,,
"[1289645008, 1289645007]",primary,4,50,Boulevard Suchet,False,False,196.5291139453371,"LINESTRING (2.2618853 48.8530352, 2.261941 48.8531253, 2.2620569 48.8533055, 2.2621361 48.8534286, 2.2621511 48.8534521, 2.2629306 48.8546633)",,,,,,
4039497,secondary,3,30,Place de la Porte de Passy,False,False,89.3572390747633,"LINESTRING (2.2646623 48.8573541, 2.2644816 48.8574046, 2.2636424 48.85764, 2.2635387 48.8576692)",,,,,,
"[1289645009, 582936818, 26934315]",primary,"['5', '4']",50,Boulevard Suchet,False,True,231.95388513698225,"LINESTRING (2.2646623 48.8573541, 2.2645473 48.8572016, 2.2645319 48.8571796, 2.2644241 48.8569991, 2.264357 48.856889, 2.2634266 48.8554335)",,,,,,
"[633689344, 4006556, 674498287]",primary,4,"['30', '50']",Boulevard Suchet,False,False,232.49205325455384,"LINESTRING (2.2646623 48.8573541, 2.2647516 48.8574876, 2.2647696 48.8575199, 2.2648575 48.8576637, 2.2658166 48.8591567, 2.2658963 48.8592808)",,,,,,
"[34824649, 1274939139, 722483413]",secondary,2,30,Avenue Ingres,False,True,145.66817862257872,"LINESTRING (2.2646623 48.8573541, 2.2648185 48.8573108, 2.2648469 48.8573031, 2.2650619 48.8572433, 2.2655182 48.8571167, 2.2657841 48.8570429, 2.265908 48.8570207, 2.2660787 48.8569991, 2.2662527 48.8569973, 2.2663668 48.8569991, 2.2664613 48.8570101, 2.2665471 48.8570207)",,,,,,
24981503,unclassified,2,30,Allée des Fortifications,False,True,5.652814671033965,"LINESTRING (2.2629378 48.8578749, 2.2629091 48.8578277)",,,,,,
443995225,secondary,1,50,Route des Lacs à Passy,True,False,75.39973052123419,"LINESTRING (2.2629378 48.8578749, 2.2628703 48.8578929, 2.2619907 48.8581423)",,,,,,
1295716614,secondary,2,50,Avenue de l'Hippodrome,False,False,26.279905630406766,"LINESTRING (2.2559777 48.8583101, 2.2556226 48.8582744)",,,,,,
