osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,junction,bridge,width,access,tunnel
27947290,unclassified,2,,camí de s'Hostal,,False,True,207.87775019319676,"LINESTRING (2.7608103 39.5403694, 2.7611002 39.5400855, 2.7618803 39.539322, 2.7623105 39.5389009)",,,,,
43855566,unclassified,,,Camí Cal Porgador,,False,True,554.7424605306355,"LINESTRING (2.7608103 39.5403694, 2.7614525 39.5415026, 2.7635273 39.5448966)",,,,,
43855564,unclassified,,,,,False,True,197.67192207532065,"LINESTRING (2.7633882 39.5490594, 2.7643999 39.5506568)",,,,,
32672123,unclassified,,,camí de Ses Argiles,,False,True,281.86121890665333,"LINESTRING (2.7614379 39.5517565, 2.7643999 39.5506568)",,,,,
43855563,unclassified,,,,,False,False,13.309870109399712,"LINESTRING (2.7614379 39.5517565, 2.7613389 39.5518487)",,yes,,,
892109695,unclassified,,,,,False,False,615.2327488770753,"LINESTRING (2.7614379 39.5517565, 2.7595241 39.5485445, 2.7594033 39.5483417, 2.7584423 39.5467288)",,,,,
4380320,tertiary,2,,,Ma-6011,True,False,11.886004656008767,"LINESTRING (2.7614441 39.5192047, 2.7614776 39.5192138, 2.7615076 39.5192256, 2.7615347 39.5192406, 2.7615593 39.5192609)",roundabout,,,,
43855740,unclassified,,,,,False,True,94.68644645402568,"LINESTRING (2.7704333 39.5093146, 2.7703261 39.5094245, 2.7701084 39.5096173, 2.7698566 39.5098367, 2.7697281 39.5099689)",,,,,
481414446,tertiary,2,,,Ma-6011,True,False,6.269955632312807,"LINESTRING (2.7613168 39.519521, 2.7612824 39.5195084, 2.761254 39.5194926)",roundabout,,,,
59837482,tertiary,,,,Ma-6011,True,False,66.25046942716027,"LINESTRING (2.7615693 39.5194603, 2.7615439 39.5195071, 2.7615329 39.5195449, 2.7615298 39.5195753, 2.7615316 39.5196072, 2.7615393 39.5196417, 2.7616196 39.519847, 2.7616641 39.5200384)",,,,,
481366662,tertiary,2,,,Ma-6011,True,False,24.358896035077784,"LINESTRING (2.7615693 39.5194603, 2.7615452 39.5194823, 2.7615213 39.5194986, 2.7614915 39.5195119, 2.7614601 39.5195233, 2.7614241 39.5195287, 2.7613882 39.5195316, 2.7613546 39.5195283, 2.7613168 39.519521)",roundabout,,,,
43856369,motorway_link,1,,,,True,False,572.4688334009826,"LINESTRING (2.7643424 39.5147651, 2.764084 39.5151465, 2.7640127 39.5152485, 2.763943 39.5153652, 2.763888 39.5154637, 2.7638349 39.5155743, 2.7637906 39.5156796, 2.7637394 39.5158209, 2.7637066 39.515927, 2.7636773 39.5160402, 2.7636502 39.5161672, 2.7636261 39.5162796, 2.7635957 39.5163844, 2.7635589 39.5164944, 2.7635135 39.5166049, 2.7634626 39.5167095, 2.7634072 39.5168152, 2.763329 39.5169341, 2.7632553 39.5170371, 2.7631748 39.5171396, 2.7630973 39.5172289, 2.7630119 39.5173108, 2.7629164 39.5174004, 2.7628289 39.5174791, 2.7625312 39.51771, 2.7622785 39.5179111, 2.7620803 39.5180667, 2.7619348 39.5181816, 2.761852 39.5182532, 2.7617933 39.518309, 2.76174 39.5183662, 2.7616965 39.5184265, 2.7616479 39.5185, 2.7616102 39.5185681, 2.761575 39.5186459, 2.7615504 39.5187172, 2.7615278 39.5187947, 2.7615157 39.5188602, 2.7615107 39.5189276, 2.7615085 39.5190094, 2.7615206 39.519191, 2.7615262 39.5192122, 2.7615369 39.5192328, 2.7615593 39.5192609)",,,,,
1071803581,motorway,2,120,,Ma-19,True,False,483.1389284524991,"LINESTRING (2.7643424 39.5147651, 2.7639496 39.5151336, 2.7638391 39.515246, 2.7637147 39.5153711, 2.7635957 39.5154995, 2.7634893 39.5156201, 2.7633704 39.5157621, 2.7632727 39.5158893, 2.7631765 39.516023, 2.7630806 39.5161604, 2.7629868 39.5163004, 2.7628107 39.5165727, 2.7627178 39.5167176, 2.7626278 39.5168564, 2.7625361 39.5169991, 2.7624443 39.5171365, 2.7623259 39.5173028, 2.7622512 39.517402, 2.7621468 39.5175344, 2.7620384 39.5176642, 2.7619237 39.5177937, 2.7618076 39.5179191, 2.7616878 39.5180421, 2.7615613 39.5181657, 2.7614351 39.5182839, 2.7613011 39.518403)",,,,,
482444107,residential,,,Carrer de Cartago,,False,True,54.456763745440234,"LINESTRING (2.7517199 39.5051853, 2.7517398 39.5046958)",,,,,
466072122,residential,,,Carrer de Cartago,,False,False,56.36529090488747,"LINESTRING (2.7517199 39.5051853, 2.7516879 39.5056226, 2.7516829 39.5056914)",,,,,
43858352,residential,,,Carrer de Berlín,,True,False,28.985907157965507,"LINESTRING (2.7525 39.5052228, 2.7521628 39.5052066)",,,,,
186825991,residential,,,carrer Trasimé,,True,False,54.78540721945203,"LINESTRING (2.7525 39.5052228, 2.7525385 39.504731)",,,,,
