osmid,y,x,street_count,highway,ref,railway,junction,geometry
60742051,50.079201,8.5153953,3,,,,,POINT (8.5153953 50.079201)
60742053,50.0782141,8.5136227,3,,,,,POINT (8.5136227 50.0782141)
60742054,50.0777709,8.5128268,3,,,,,POINT (8.5128268 50.0777709)
60742058,50.0783735,8.5159303,4,,,,,POINT (8.5159303 50.0783735)
60742059,50.0773532,8.5161943,3,,,,,POINT (8.5161943 50.0773532)
60742060,50.0774387,8.5171422,3,,,,,POINT (8.5171422 50.0774387)
60742061,50.0784794,8.5168819,4,,,,,POINT (8.5168819 50.0784794)
60742062,50.0793385,8.5166507,3,,,,,POINT (8.5166507 50.0793385)
60742063,50.0781629,8.514005,3,,,,,POINT (8.514005 50.0781629)
60742064,50.0782692,8.5149722,3,,,,,POINT (8.5149722 50.0782692)
60742065,50.0775871,8.5141702,1,,,,,POINT (8.5141702 50.0775871)
60742066,50.077548,8.5151539,1,,,,,POINT (8.5151539 50.077548)
60742067,50.077296,8.5156493,1,,,,,POINT (8.5156493 50.077296)
60742074,50.0821308,8.5150483,3,,,,,POINT (8.5150483 50.0821308)
60742075,50.0836917,8.514229,4,,,,,POINT (8.514229 50.0836917)
60742076,50.0839577,8.5140947,1,,,,,POINT (8.5140947 50.0839577)
60742077,50.08356,8.513749,1,,,,,POINT (8.513749 50.08356)
60742078,50.081369,8.5154137,3,,,,,POINT (8.5154137 50.081369)
60742079,50.0807491,8.5146905,1,,,,,POINT (8.5146905 50.0807491)
60742084,50.0783069,8.5121264,3,,,,,POINT (8.5121264 50.0783069)
60742093,50.0841887,8.5163891,4,,,,,POINT (8.5163891 50.0841887)
60742094,50.0833878,8.5168404,4,,,,,POINT (8.5168404 50.0833878)
60742095,50.0817692,8.5176245,4,,,,,POINT (8.5176245 50.0817692)
60742096,50.0809363,8.5179899,3,,,,,POINT (8.5179899 50.0809363)
60742100,50.0819166,8.5187789,1,,,,,POINT (8.5187789 50.0819166)
60742102,50.0819219,8.5184906,1,,,,,POINT (8.5184906 50.0819219)
60742103,50.0794404,8.5175744,1,,,,,POINT (8.5175744 50.0794404)
60742109,50.0804139,8.5180627,3,,,,,POINT (8.5180627 50.0804139)
60742120,50.0803102,8.5185189,3,,,,,POINT (8.5185189 50.0803102)
60742121,50.0801482,8.5185865,3,,,,,POINT (8.5185865 50.0801482)
60742123,50.0787016,8.5187645,3,,,,,POINT (8.5187645 50.0787016)
60742126,50.0805579,8.5195989,1,,,,,POINT (8.5195989 50.0805579)
60742128,50.0785862,8.5179321,3,,,,,POINT (8.5179321 50.0785862)
60742129,50.0764787,8.5184615,3,,,,,POINT (8.5184615 50.0764787)
60742131,50.0752319,8.5186644,1,,,,,POINT (8.5186644 50.0752319)
60742132,50.0744876,8.5186784,1,,,,,POINT (8.5186784 50.0744876)
60742133,50.0742672,8.5176262,4,,,,,POINT (8.5176262 50.0742672)
60742138,50.0763187,8.5169244,3,,,,,POINT (8.5169244 50.0763187)
60742139,50.0763673,8.5174206,4,,,,,POINT (8.5174206 50.0763673)
60742143,50.0693915,8.5161949,3,,,,,POINT (8.5161949 50.0693915)
60906984,50.0957649,8.4829967,3,,,,,POINT (8.4829967 50.0957649)
60942209,50.068767,8.6426666,3,,,,,POINT (8.6426666 50.068767)
60942210,50.0694604,8.6414284,3,,,,,POINT (8.6414284 50.0694604)
60942218,50.0714394,8.6435469,1,,,,,POINT (8.6435469 50.0714394)
60942223,50.0766905,8.6510607,4,,,,,POINT (8.6510607 50.0766905)
60942224,50.076906,8.65149,3,,,,,POINT (8.65149 50.076906)
60942225,50.0774601,8.6524827,3,,,,,POINT (8.6524827 50.0774601)
60942231,50.0768989,8.6508094,3,,,,,POINT (8.6508094 50.0768989)
60942232,50.0769068,8.6496818,3,,,,,POINT (8.6496818 50.0769068)
60942233,50.0770172,8.6482184,3,,,,,POINT (8.6482184 50.0770172)
60942235,50.0784171,8.6480035,4,,,,,POINT (8.6480035 50.0784171)
60942236,50.0799838,8.6498946,4,,,,,POINT (8.6498946 50.0799838)
60942237,50.0818836,8.6522142,3,,,,,POINT (8.6522142 50.0818836)
60942239,50.0827469,8.6515616,3,,,,,POINT (8.6515616 50.0827469)
60942241,50.0841487,8.6493873,3,,,,,POINT (8.6493873 50.0841487)
60942242,50.084676,8.6485358,3,,,,,POINT (8.6485358 50.084676)
60942243,50.085596,8.6483053,3,,,,,POINT (8.6483053 50.085596)
60942244,50.0852853,8.6476591,3,,,,,POINT (8.6476591 50.0852853)
60942245,50.0844945,8.6459584,3,,,,,POINT (8.6459584 50.0844945)
60942246,50.0837091,8.6443268,4,,,,,POINT (8.6443268 50.0837091)
60942247,50.0830628,8.6430322,3,,,,,POINT (8.6430322 50.0830628)
60942249,50.0816156,8.6391133,4,,,,,POINT (8.6391133 50.0816156)
60942251,50.078008,8.6488275,3,,,,,POINT (8.6488275 50.078008)
60942252,50.0779854,8.6490396,3,,,,,POINT (8.6490396 50.0779854)
60942253,50.0779776,8.6496937,3,,,,,POINT (8.6496937 50.0779776)
60942254,50.0779838,8.6508464,4,,,,,POINT (8.6508464 50.0779838)
60942257,50.0782357,8.6493306,3,,,,,POINT (8.6493306 50.0782357)
60942258,50.0793393,8.6506403,3,,,,,POINT (8.6506403 50.0793393)
60942262,50.0807417,8.6531745,3,,,,,POINT (8.6531745 50.0807417)
60942265,50.0851244,8.6500009,3,,,,,POINT (8.6500009 50.0851244)
60942270,50.0806113,8.6493474,4,,,,,POINT (8.6493474 50.0806113)
60942271,50.0812663,8.6487835,4,,,,,POINT (8.6487835 50.0812663)
60942272,50.0818803,8.6482386,3,,,,,POINT (8.6482386 50.0818803)
60942273,50.0827938,8.6474995,3,,,,,POINT (8.6474995 50.0827938)
60942274,50.0830383,8.6511175,3,,,,,POINT (8.6511175 50.0830383)
60942275,50.0808575,8.648273,1,,,,,POINT (8.648273 50.0808575)
60942276,50.0830359,8.6447137,3,,,,,POINT (8.6447137 50.0830359)
60942277,50.0823451,8.6451322,3,,,,,POINT (8.6451322 50.0823451)
60942278,50.0814886,8.6456849,3,,,,,POINT (8.6456849 50.0814886)
60942279,50.0812963,8.6457867,3,,,,,POINT (8.6457867 50.0812963)
60942280,50.0790832,8.6473845,3,,,,,POINT (8.6473845 50.0790832)
60942281,50.0816019,8.6506373,1,,,,,POINT (8.6506373 50.0816019)
60942282,50.081351,8.6474948,1,turning_circle,,,,POINT (8.6474948 50.081351)
60942283,50.0834025,8.6483505,3,,,,,POINT (8.6483505 50.0834025)
60942284,50.0829228,8.6491045,1,,,,,POINT (8.6491045 50.0829228)
60942285,50.0837736,8.6464185,3,,,,,POINT (8.6464185 50.0837736)
60942959,50.0803432,8.6402881,3,,,,,POINT (8.6402881 50.0803432)
60942962,50.0801885,8.6416098,3,,,,,POINT (8.6416098 50.0801885)
60942963,50.0804055,8.6429585,3,,,,,POINT (8.6429585 50.0804055)
60942964,50.0854638,8.638357,3,,,,,POINT (8.638357 50.0854638)
60942965,50.0848756,8.638402,4,,,,,POINT (8.638402 50.0848756)
60942966,50.0838401,8.6385102,4,,,,,POINT (8.6385102 50.0838401)
60942979,50.0877372,8.6380788,4,,,,,POINT (8.6380788 50.0877372)
60942980,50.0870008,8.6382088,3,,,,,POINT (8.6382088 50.0870008)
61101991,50.0771714,8.6443877,3,,,,,POINT (8.6443877 50.0771714)
61101995,50.0770083,8.6430215,3,,,,,POINT (8.6430215 50.0770083)
61101999,50.0772619,8.6416784,3,,,,,POINT (8.6416784 50.0772619)
61102003,50.0779397,8.6439352,3,,,,,POINT (8.6439352 50.0779397)
61102008,50.0779059,8.6429008,3,,,,,POINT (8.6429008 50.0779059)
61102031,50.0777138,8.6417428,3,,,,,POINT (8.6417428 50.0777138)
61102034,50.0783138,8.6412349,3,,,,,POINT (8.6412349 50.0783138)
61102037,50.0787422,8.6410569,3,,,,,POINT (8.6410569 50.0787422)
61102038,50.0788326,8.6409245,3,,,,,POINT (8.6409245 50.0788326)
61102042,50.0786528,8.6401419,3,,,,,POINT (8.6401419 50.0786528)
61102043,50.0780799,8.6405527,3,,,,,POINT (8.6405527 50.0780799)
61102045,50.0774744,8.6410197,3,,,,,POINT (8.6410197 50.0774744)
61102052,50.0793777,8.6418661,1,,,,,POINT (8.6418661 50.0793777)
61102058,50.0791844,8.6403326,1,,,,,POINT (8.6403326 50.0791844)
