osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
"[542948170, 22588050, 882828677, 309051296]",tertiary,3,30,Pla de Palau,True,False,74.69926478674368,"LINESTRING (2.1841315 41.3821491, 2.1841632 41.3821342, 2.1842305 41.3821042, 2.1843299 41.3820599, 2.1846701 41.3819008, 2.1847368 41.3818697, 2.1847546 41.3818616, 2.1847756 41.3818515, 2.1848516 41.3818202, 2.1848958 41.3817994)",,,,,,,,
22588067,tertiary,2,30,Pla de Palau,True,False,69.17566835626401,"LINESTRING (2.1841315 41.3821491, 2.1843617 41.3824342, 2.1844777 41.3825788, 2.1845602 41.3826816)",,,,,,,,
18512190,tertiary,3,50,Passeig d'Isabel II,True,False,160.82680232719338,"LINESTRING (2.1831923 41.3826029, 2.1831411 41.3825404, 2.1831247 41.3825206, 2.1830865 41.382475, 2.1827271 41.3820447, 2.1825489 41.3818315, 2.1823503 41.3815965, 2.1823037 41.3815446, 2.182291 41.3815266, 2.182166 41.3813787)",,,,,,,,
"[293505299, 514849724]",tertiary,3,30,Pla de Palau,True,False,18.786109338570455,"LINESTRING (2.1831923 41.3826029, 2.1832755 41.3825599, 2.1833747 41.3825039)",,,,,,,,
"[245672928, 246639229]",secondary,4,50,Plaça del Portal de la Pau,True,False,35.937695308482496,"LINESTRING (2.1781634 41.375966, 2.178129 41.3760533, 2.1780416 41.376127, 2.1779426 41.3761382, 2.1778658 41.3761475)",,circular,,,,,,
"[903747291, 474464196]",secondary,"['3', '4']",50,Passeig de Colom,True,False,683.6311653537091,"LINESTRING (2.1781634 41.375966, 2.1782224 41.3761351, 2.1782402 41.3761575, 2.1782656 41.3761895, 2.1783041 41.3762369, 2.1784312 41.376387, 2.1786745 41.3766946, 2.1793397 41.3775149, 2.1797186 41.3779841, 2.1806915 41.3791887, 2.1808969 41.3794439, 2.1819828 41.3807922, 2.1819958 41.3808084, 2.1820343 41.3808562, 2.1820672 41.3809045, 2.182106 41.380957, 2.1821752 41.3810567, 2.1821827 41.3810668, 2.1823228 41.3812543)",,,,,,,,
"[4079520, 914891584, 514858416, 914891583]",secondary,4,50,Plaça del Portal de la Pau,True,False,81.2517226010502,"LINESTRING (2.177604 41.3754663, 2.1776772 41.3754706, 2.1777529 41.3754825, 2.1778298 41.3755064, 2.177911 41.3755437, 2.1779853 41.3756006, 2.1780644 41.3756571, 2.1781208 41.3757409, 2.178141 41.3758023, 2.1781503 41.3758422, 2.1781592 41.3758804, 2.1781634 41.375966)",,circular,,,,,,
"[8380803, 309051278]",secondary,3,50,Passeig de Josep Carner,True,False,169.36331461528434,"LINESTRING (2.1774317 41.3755381, 2.1773511 41.3754238, 2.1773432 41.3754125, 2.1773307 41.3753944, 2.1772996 41.3753539, 2.1768393 41.3747772, 2.1767498 41.3746655, 2.1767255 41.3746353, 2.1766622 41.374556, 2.1765516 41.374492, 2.1764944 41.374472, 2.1764251 41.3744605, 2.1761897 41.3744369)",,,,,,,,
245672926,secondary,2,50,Plaça del Portal de la Pau,True,False,16.509886457484086,"LINESTRING (2.1774317 41.3755381, 2.1775 41.3755022, 2.177604 41.3754663)",,circular,,,,,,
246638753,secondary,4,50,Plaça del Portal de la Pau,True,False,20.48109055941206,"LINESTRING (2.1773686 41.3757129, 2.177372 41.3756408, 2.1774317 41.3755381)",,circular,,,,,,
