osmid,highway,lanes,maxspeed,name,oneway,width,reversed,length,geometry,ref,access,bridge,junction,tunnel,area
361323916,residential,2,RO:urban,Strada Doinei,False,,False,128.08888157624827,"LINESTRING (23.5844394 46.7935264, 23.583606 46.79331, 23.5828681 46.7931145)",,,,,,
361323916,residential,2,RO:urban,Strada Doinei,False,,True,316.0826211808714,"LINESTRING (23.5844394 46.7935264, 23.5849901 46.7936369, 23.5855479 46.7937354, 23.5856375 46.7937457, 23.5857367 46.7937512, 23.5859985 46.7937472, 23.5861391 46.793748, 23.5865188 46.7937409, 23.5866353 46.7937466, 23.5867587 46.7937585, 23.5874565 46.7938647, 23.5875888 46.7938797, 23.5877243 46.7938843, 23.5885262 46.793918)",,,,,,
31616617,residential,2,RO:urban,Strada Graurilor,False,,False,250.28523013704003,"LINESTRING (23.5828681 46.7931145, 23.5833056 46.7927816, 23.5845052 46.7921186, 23.5854012 46.7916914)",,,,,,
361323916,residential,2,RO:urban,Strada Doinei,False,,False,86.58025498788716,"LINESTRING (23.5828681 46.7931145, 23.58274 46.7930699, 23.58226 46.7929026, 23.5820212 46.7927884, 23.5818969 46.7927155)",,,,,,
361323916,residential,2,RO:urban,Strada Doinei,False,,True,128.08888157624827,"LINESTRING (23.5828681 46.7931145, 23.583606 46.79331, 23.5844394 46.7935264)",,,,,,
361323916,residential,2,RO:urban,Strada Doinei,False,,False,17.0152980765044,"LINESTRING (23.581095 46.7922072, 23.5809371 46.7920989)",,,,,,
361323916,residential,2,RO:urban,Strada Doinei,False,,True,78.51646931773283,"LINESTRING (23.581095 46.7922072, 23.5818502 46.7926881)",,,,,,
31616579,residential,2,RO:urban,Strada Nicolae Teclu,False,,False,214.1627144124431,"LINESTRING (23.581095 46.7922072, 23.5816858 46.7919048, 23.5820138 46.7917505, 23.5823384 46.791588, 23.5825197 46.7914868, 23.582608 46.7914319, 23.5829553 46.7911931, 23.583091 46.7910904, 23.5831712 46.7910141, 23.5832097 46.7909581)",,,,,,
31616610,residential,2,RO:urban,Strada Nicolae Teclu,False,,False,95.79785851014906,"LINESTRING (23.5832097 46.7909581, 23.5843388 46.7913384)",,,,,,
31616579,residential,2,RO:urban,Strada Nicolae Teclu,False,,False,99.39201298437763,"LINESTRING (23.5832097 46.7909581, 23.5833039 46.7907276, 23.5834274 46.7904889, 23.5836431 46.7901158)",,,,,,
31616579,residential,2,RO:urban,Strada Nicolae Teclu,False,,True,214.1627144124431,"LINESTRING (23.5832097 46.7909581, 23.5831712 46.7910141, 23.583091 46.7910904, 23.5829553 46.7911931, 23.582608 46.7914319, 23.5825197 46.7914868, 23.5823384 46.791588, 23.5820138 46.7917505, 23.5816858 46.7919048, 23.581095 46.7922072)",,,,,,
360394416,secondary,2,RO:urban,Strada Maramureșului,False,,False,21.74378804397865,"LINESTRING (23.5828341 46.7897794, 23.5825731 46.7897)",,,,,,
360394416,secondary,2,RO:urban,Strada Maramureșului,False,,True,61.66037498360823,"LINESTRING (23.5828341 46.7897794, 23.5835733 46.790006)",,,,,,
31616583,residential,2,RO:urban,Strada Senină,False,,False,301.6983913090746,"LINESTRING (23.5828341 46.7897794, 23.5816819 46.7916587, 23.5816544 46.7916871, 23.5816155 46.7917128, 23.5815284 46.7917615, 23.5813487 46.7918643, 23.5809371 46.7920989)",,,,,,
31616610,residential,2,RO:urban,Strada Nicolae Teclu,False,,False,63.95083562158119,"LINESTRING (23.5854012 46.7916914, 23.5861329 46.7919739)",,,,,,
31616610,residential,2,RO:urban,Strada Nicolae Teclu,False,,True,89.9022442658407,"LINESTRING (23.5854012 46.7916914, 23.5843388 46.7913384)",,,,,,
31616617,residential,2,RO:urban,Strada Graurilor,False,,True,250.28523013704003,"LINESTRING (23.5854012 46.7916914, 23.5845052 46.7921186, 23.5833056 46.7927816, 23.5828681 46.7931145)",,,,,,
31714044,residential,2,40,Strada Florian Aron,False,,False,150.2426288112459,"LINESTRING (23.5915192 46.7931933, 23.590703 46.7944235)",,,,,,
31714043,residential,2,RO:urban,Strada Piersicului,False,,False,63.490015252129446,"LINESTRING (23.5915192 46.7931933, 23.5918146 46.7933224, 23.5921083 46.7934344, 23.5921445 46.7934427, 23.5921982 46.7934454, 23.5922529 46.7934397)",,,,,,
31714043,residential,2,RO:urban,Strada Piersicului,False,,True,82.40635694443618,"LINESTRING (23.5915192 46.7931933, 23.5912004 46.7930543, 23.5909193 46.792908, 23.5906064 46.7927985)",,,,,,
31714044,residential,2,40,Strada Florian Aron,False,,True,150.2426288112459,"LINESTRING (23.590703 46.7944235, 23.5915192 46.7931933)",,,,,,
"[31616553, 361323916]",residential,2,"['40', 'RO:urban']","['Strada Eufrosin Poteca', 'Strada Doinei']",False,,False,176.97525924045294,"LINESTRING (23.590703 46.7944235, 23.5897037 46.794079, 23.5895175 46.7940281, 23.5890117 46.7939596, 23.5887596 46.7939302, 23.5885262 46.793918)",,,,,,
"[31616553, 264748002]",residential,2,40,Strada Eufrosin Poteca,False,,True,259.179791042461,"LINESTRING (23.590703 46.7944235, 23.5914301 46.7947107, 23.5914634 46.7947285, 23.5914857 46.7947525, 23.5914873 46.7947784, 23.5914671 46.7948116, 23.5914137 46.7948719, 23.5911923 46.7950699, 23.5911131 46.7951516, 23.5910236 46.795251, 23.5909901 46.7952932, 23.5909737 46.7953401, 23.5909769 46.7953972, 23.5910041 46.7954572, 23.5910507 46.7955048, 23.5910987 46.7955373, 23.5911589 46.7955641, 23.5912175 46.7955843, 23.5916027 46.7957145, 23.5921124 46.7958981)",,,,,,
31616610,residential,2,RO:urban,Strada Nicolae Teclu,False,,False,89.9022442658407,"LINESTRING (23.5843388 46.7913384, 23.5854012 46.7916914)",,,,,,
31616610,residential,2,RO:urban,Strada Nicolae Teclu,False,,True,95.79785851014906,"LINESTRING (23.5843388 46.7913384, 23.5832097 46.7909581)",,,,,,
31616611,residential,2,RO:urban,Strada Cocorilor,False,,False,240.84619819656967,"LINESTRING (23.5843388 46.7913384, 23.5818969 46.7927155)",,,,,,
31616635,residential,2,RO:urban,Strada Spitalului,False,,False,37.32545921764137,"LINESTRING (23.5936678 46.7838238, 23.5936317 46.7838394, 23.5932531 46.7840028)",,,,,,
"[44356589, 1232131958, 31584535]",secondary,"['3', '2']",RO:urban,Strada Traian,False,,False,233.28689143534177,"LINESTRING (23.5936678 46.7838238, 23.5938404 46.7839774, 23.5940585 46.7841533, 23.5942925 46.7843231, 23.5944897 46.7844542, 23.5946699 46.7845768, 23.5951973 46.7848122, 23.5953538 46.7848821, 23.5955153 46.7849728, 23.5955616 46.7850152, 23.5955903 46.7850495, 23.5956111 46.7850863, 23.5956511 46.7851703, 23.5956637 46.7853121, 23.5956623 46.7853255)",,,,,,
