osmid,y,x,highway,street_count,ref,junction,geometry
305396812,40.4132529,-3.7271462,,4,,,POINT (-3.7271462 40.4132529)
305396816,40.4131358,-3.7282544,,4,,,POINT (-3.7282544 40.4131358)
305396818,40.4127641,-3.728179,,4,,,POINT (-3.728179 40.4127641)
305396821,40.4124084,-3.728097,,4,,,POINT (-3.728097 40.4124084)
305396823,40.4120427,-3.7280208,,4,,,POINT (-3.7280208 40.4120427)
305396824,40.4113411,-3.7304335,,4,,,POINT (-3.7304335 40.4113411)
305396827,40.4114347,-3.7313081,,4,,,POINT (-3.7313081 40.4114347)
305396831,40.4111119,-3.731095,,4,,,POINT (-3.731095 40.4111119)
305396834,40.4117597,-3.7315148,,4,,,POINT (-3.7315148 40.4117597)
305396838,40.4101403,-3.7320175,,3,,,POINT (-3.7320175 40.4101403)
305396840,40.4109614,-3.7325582,,3,,,POINT (-3.7325582 40.4109614)
305396851,40.4089873,-3.734087,,3,,,POINT (-3.734087 40.4089873)
305396869,40.407946,-3.7367073,,4,,,POINT (-3.7367073 40.407946)
305396872,40.4077308,-3.7374439,,3,,,POINT (-3.7374439 40.4077308)
305396880,40.408167,-3.7393773,,4,,,POINT (-3.7393773 40.408167)
305396890,40.4061818,-3.7355934,,4,,,POINT (-3.7355934 40.4061818)
305396893,40.4055744,-3.7356693,,3,,,POINT (-3.7356693 40.4055744)
305396904,40.40687,-3.7354354,,3,,,POINT (-3.7354354 40.40687)
305396923,40.408382,-3.7348509,,3,,,POINT (-3.7348509 40.408382)
305396935,40.4085525,-3.7342082,,4,,,POINT (-3.7342082 40.4085525)
305396939,40.4078304,-3.7331883,,3,,,POINT (-3.7331883 40.4078304)
305396944,40.4073533,-3.7352655,,5,,,POINT (-3.7352655 40.4073533)
305396948,40.4079168,-3.7327048,,3,,,POINT (-3.7327048 40.4079168)
305396951,40.4077609,-3.7306706,,3,,,POINT (-3.7306706 40.4077609)
305396957,40.4078368,-3.7302307,,3,,,POINT (-3.7302307 40.4078368)
305396960,40.4089041,-3.7331268,,3,,,POINT (-3.7331268 40.4089041)
305396965,40.4079676,-3.7332632,,3,,,POINT (-3.7332632 40.4079676)
305396972,40.4090767,-3.7322293,,3,,,POINT (-3.7322293 40.4090767)
305396981,40.4080214,-3.7326551,,3,,,POINT (-3.7326551 40.4080214)
305396986,40.4091559,-3.7317121,,3,,,POINT (-3.7317121 40.4091559)
305396995,40.4062812,-3.7329027,,3,,,POINT (-3.7329027 40.4062812)
305396999,40.406704,-3.7333178,,3,,,POINT (-3.7333178 40.406704)
305397004,40.4078261,-3.7313974,,4,,,POINT (-3.7313974 40.4078261)
305397009,40.40631,-3.732052,,3,,,POINT (-3.732052 40.40631)
305397013,40.4055108,-3.7344855,,3,,,POINT (-3.7344855 40.4055108)
305397019,40.4056187,-3.7360363,,4,,,POINT (-3.7360363 40.4056187)
305397027,40.4057512,-3.7421675,,3,,,POINT (-3.7421675 40.4057512)
305397032,40.4054267,-3.7422595,,3,,,POINT (-3.7422595 40.4054267)
305397036,40.4057029,-3.7419381,,3,,,POINT (-3.7419381 40.4057029)
305397045,40.4062158,-3.7417444,,3,,,POINT (-3.7417444 40.4062158)
305397048,40.4063082,-3.7418407,,4,,,POINT (-3.7418407 40.4063082)
305397052,40.4059158,-3.7421383,,4,,,POINT (-3.7421383 40.4059158)
305397066,40.4059832,-3.7439431,,3,,,POINT (-3.7439431 40.4059832)
305397070,40.4049642,-3.7434858,,4,,,POINT (-3.7434858 40.4049642)
305397075,40.4045934,-3.7434365,,3,,,POINT (-3.7434365 40.4045934)
305397089,40.4060142,-3.7451561,,3,,,POINT (-3.7451561 40.4060142)
305397093,40.4056819,-3.7451807,,3,,,POINT (-3.7451807 40.4056819)
305397100,40.4055692,-3.7481259,,3,,,POINT (-3.7481259 40.4055692)
305397104,40.4065524,-3.7451208,,3,,,POINT (-3.7451208 40.4065524)
305397131,40.404464,-3.7485596,,3,,,POINT (-3.7485596 40.404464)
305397143,40.4045373,-3.7479242,,3,,,POINT (-3.7479242 40.4045373)
305397170,40.4049477,-3.7452434,traffic_signals,4,,,POINT (-3.7452434 40.4049477)
305397177,40.4048792,-3.7422986,,4,,,POINT (-3.7422986 40.4048792)
305397215,40.4043817,-3.7373049,,2,,,POINT (-3.7373049 40.4043817)
305397224,40.4049388,-3.7373508,,4,,,POINT (-3.7373508 40.4049388)
305397231,40.4055852,-3.7374482,,4,,,POINT (-3.7374482 40.4055852)
305397238,40.4060141,-3.7374768,,3,,,POINT (-3.7374768 40.4060141)
305397256,40.4061144,-3.7397056,,4,,,POINT (-3.7397056 40.4061144)
305397261,40.4074888,-3.7391609,,3,,,POINT (-3.7391609 40.4074888)
305397295,40.4081579,-3.7357748,,3,,,POINT (-3.7357748 40.4081579)
305397301,40.4080408,-3.7362339,,4,,,POINT (-3.7362339 40.4080408)
305397305,40.4078131,-3.7371419,,4,,,POINT (-3.7371419 40.4078131)
305397309,40.4082174,-3.736325,,4,,,POINT (-3.736325 40.4082174)
305397312,40.4088178,-3.7358057,,3,,,POINT (-3.7358057 40.4088178)
305397321,40.4091576,-3.7355369,,3,,,POINT (-3.7355369 40.4091576)
305397333,40.4110364,-3.7357,,3,,,POINT (-3.7357 40.4110364)
305397343,40.4098355,-3.7359646,,3,,,POINT (-3.7359646 40.4098355)
305397350,40.4095241,-3.7362142,,3,,,POINT (-3.7362142 40.4095241)
305397354,40.4092216,-3.7369752,,4,,,POINT (-3.7369752 40.4092216)
305397358,40.4091037,-3.7374167,,3,,,POINT (-3.7374167 40.4091037)
305397361,40.409392,-3.7365721,,3,,,POINT (-3.7365721 40.409392)
305397370,40.4103223,-3.7361864,,3,,,POINT (-3.7361864 40.4103223)
